True Id,Cluster ID,Id,init_name,last_name,first_name,full_name,norm_fname,norm_full_name,affiliation,city,country
0,0,1,AHOMADEGBE C,AHOMADEGBE,C,AHOMADEGBE C,CHRISTELLE,AHOMADEGBE CHRISTELLE,CNHU HKM PEOPLE LIVING HIVS AMBULATORY TREATMENT CTR,COTONOU,BENIN
0,0,2,AHOMADEGBE C,AHOMADEGBE,C,AHOMADEGBE C,CHRISTELLE,AHOMADEGBE CHRISTELLE,CNHU HKM PEOPLE LIVING HIVS AMBULATORY TREATMENT CTR,COTONOU,BENIN
0,0,98,AHOMADEGBE C,AHOMADEGBE,CHRISTELLE,AHOMADEGBE CHRISTELLE,CHRISTELLE,AHOMADEGBE CHRISTELLE,CNHU HKM PEOPLE LIVING HIVS AMBULATORY TREATMENT CTR,COTONOU,BENIN
0,0,99,AHOMADEGBE C,AHOMADEGBE,CHRISTELLE,AHOMADEGBE CHRISTELLE,CHRISTELLE,AHOMADEGBE CHRISTELLE,CNHU HKM PEOPLE LIVING HIVS AMBULATORY TREATMENT CTR,COTONOU,BENIN
0,0,590,AHOMADEGBE C,AHOMADEGBE,C,AHOMADEGBE C,CHRISTELLE,AHOMADEGBE CHRISTELLE,CNHU HKM PEOPLE LIVING HIVS AMBULATORY TREATMENT CTR,COTONOU,BENIN
1,1,825,TOURE P,TOURE,PETY,TOURE PETY,PETY,TOURE PETY,ACONDA MTCT PLUS INITIAT,ABIDJAN,COTE IVOIRE
1,1,826,TOURE P,TOURE,PETY,TOURE PETY,PETY,TOURE PETY,ACONDA MTCT PLUS INITIAT,ABIDJAN,COTE IVOIRE
1,1,827,TOURE P,TOURE,PETY,TOURE PETY,PETY,TOURE PETY,ACONDA MTCT PLUS INITIAT,ABIDJAN,COTE IVOIRE
1,1,993,TOURE P,TOURE,PETY,TOURE PETY,PETY,TOURE PETY,ACONDA MTCT PLUS INITIAT,ABIDJAN,COTE IVOIRE
1,62,72,PETY T,PETY,TOURE,PETY TOURE,TOURE,TOURE PETY,ACONDA MTCT PLUS INITIAT,ABIDJAN,COTE IVOIRE
1,62,73,PETY T,PETY,TOURE,PETY TOURE,TOURE,TOURE PETY,ACONDA MTCT PLUS INITIAT,ABIDJAN,COTE IVOIRE
2,2,3,ZANNOU D M,ZANNOU,D M,ZANNOU D M,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,4,ZANNOU D M,ZANNOU,D M,ZANNOU D M,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,46,ZANNOU D M,ZANNOU,DJIMON MARCEL,ZANNOU DJIMON MARCEL,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,47,ZANNOU D M,ZANNOU,DJIMON MARCEL,ZANNOU DJIMON MARCEL,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,93,ZANNOU D M,ZANNOU,DJIMON M,ZANNOU DJIMON M,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,94,ZANNOU D M,ZANNOU,DJIMON M,ZANNOU DJIMON M,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,95,ZANNOU D M,ZANNOU,DJIMON M,ZANNOU DJIMON M,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,146,ZANNOU M D,ZANNOU,MARCEL D,ZANNOU MARCEL D,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,147,ZANNOU M D,ZANNOU,MARCEL D,ZANNOU MARCEL D,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,179,ZANNOU D M,ZANNOU,D MARCEL,ZANNOU D MARCEL,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,180,ZANNOU D M,ZANNOU,D MARCEL,ZANNOU D MARCEL,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,181,ZANNOU D M,ZANNOU,D MARCEL,ZANNOU D MARCEL,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,222,ZANNOU D M,ZANNOU,DJIMON MARCEL,ZANNOU DJIMON MARCEL,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,223,ZANNOU D M,ZANNOU,DJIMON MARCEL,ZANNOU DJIMON MARCEL,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,254,ZANNOU D M,ZANNOU,DJIMON MARCEL,ZANNOU DJIMON MARCEL,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,313,ZANNOU M D,ZANNOU,MARCEL D,ZANNOU MARCEL D,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,363,ZANNOU D M,ZANNOU,DJIMON M,ZANNOU DJIMON M,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,364,ZANNOU D M,ZANNOU,DJIMON M,ZANNOU DJIMON M,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
2,2,467,ZANNOU D M,ZANNOU,D M,ZANNOU D M,DJIMON MARCEL,ZANNOU DJIMON MARCEL,UNIV DABOMEY CALAVI  FAC SCI SANTE,COTONOU,BENIN
